resident_code,related_resident_code,relationship_type,relationship_status
R-0001,R-0002,spouse,active
R-0002,R-0001,spouse,active
R-0001,R-0003,parent,active
R-0003,R-0001,child,active
R-0002,R-0003,parent,active
R-0003,R-0002,child,active
R-0003,R-0004,spouse,active
R-0004,R-0003,spouse,active
R-0003,R-0005,parent,active
R-0005,R-0003,child,active
R-0004,R-0005,parent,active
R-0005,R-0004,child,active
R-0003,R-0006,parent,active
R-0006,R-0003,child,active
R-0004,R-0006,parent,active
R-0006,R-0004,child,active
R-0001,R-0005,grandparent,active
R-0005,R-0001,grandchild,active
R-0002,R-0005,grandparent,active
R-0005,R-0002,grandchild,active
R-0001,R-0006,grandparent,active
R-0006,R-0001,grandchild,active
R-0002,R-0006,grandparent,active
R-0006,R-0002,grandchild,active
R-0005,R-0006,sibling,active
R-0006,R-0005,sibling,active
R-0007,R-0008,spouse,active
R-0008,R-0007,spouse,active
R-0007,R-0009,parent,active
R-0009,R-0007,child,active
R-0008,R-0009,parent,active
R-0009,R-0008,child,active
R-0007,R-0010,parent,active
R-0010,R-0007,child,active
R-0008,R-0010,parent,active
R-0010,R-0008,child,active
R-0009,R-0010,sibling,active
R-0010,R-0009,sibling,active
R-0011,R-0012,grandparent,active
R-0012,R-0011,grandchild,active
R-0011,R-0013,grandparent,active
R-0013,R-0011,grandchild,active
R-0011,R-0012,guardian,active
R-0012,R-0011,dependant,active
R-0011,R-0013,guardian,active
R-0013,R-0011,dependant,active
R-0012,R-0013,sibling,active
R-0013,R-0012,sibling,active
R-0014,R-0015,sibling,active
R-0015,R-0014,sibling,active
R-0016,R-0017,parent,active
R-0017,R-0016,child,active
R-0017,R-0018,parent,active
R-0018,R-0017,child,active
R-0017,R-0019,parent,active
R-0019,R-0017,child,active
R-0016,R-0018,grandparent,active
R-0018,R-0016,grandchild,active
R-0016,R-0019,grandparent,active
R-0019,R-0016,grandchild,active
R-0018,R-0019,sibling,active
R-0019,R-0018,sibling,active
R-0020,R-0021,spouse,active
R-0021,R-0020,spouse,active
R-0022,R-0023,parent,active
R-0023,R-0022,child,active
R-0022,R-0024,parent,active
R-0024,R-0022,child,active
R-0023,R-0024,sibling,active
R-0024,R-0023,sibling,active
R-0025,R-0026,spouse,active
R-0026,R-0025,spouse,active
R-0025,R-0027,parent,active
R-0027,R-0025,child,active
R-0026,R-0027,parent,active
R-0027,R-0026,child,active
R-0028,R-0029,spouse,active
R-0029,R-0028,spouse,active
R-0028,R-0030,parent,active
R-0030,R-0028,child,active
R-0029,R-0030,parent,active
R-0030,R-0029,child,active
R-0028,R-0031,parent,active
R-0031,R-0028,child,active
R-0029,R-0031,parent,active
R-0031,R-0029,child,active
R-0028,R-0032,parent,active
R-0032,R-0028,child,active
R-0029,R-0032,parent,active
R-0032,R-0029,child,active
R-0030,R-0031,sibling,active
R-0031,R-0030,sibling,active
R-0030,R-0032,sibling,active
R-0032,R-0030,sibling,active
R-0031,R-0032,sibling,active
R-0032,R-0031,sibling,active
R-0033,R-0034,sibling,active
R-0034,R-0033,sibling,active
R-0033,R-0035,sibling,active
R-0035,R-0033,sibling,active
R-0034,R-0035,sibling,active
R-0035,R-0034,sibling,active
R-0036,R-0037,parent,active
R-0037,R-0036,child,active
R-0036,R-0038,parent,active
R-0038,R-0036,child,active
R-0037,R-0038,sibling,active
R-0038,R-0037,sibling,active
R-0039,R-0040,spouse,active
R-0040,R-0039,spouse,active
R-0041,R-0039,parent,active
R-0039,R-0041,child,active
R-0039,R-0042,parent,active
R-0042,R-0039,child,active
R-0040,R-0042,parent,active
R-0042,R-0040,child,active
R-0041,R-0042,grandparent,active
R-0042,R-0041,grandchild,active
R-0043,R-0044,parent,active
R-0044,R-0043,child,active
R-0044,R-0045,spouse,active
R-0045,R-0044,spouse,active
R-0044,R-0046,parent,active
R-0046,R-0044,child,active
R-0045,R-0046,parent,active
R-0046,R-0045,child,active
R-0044,R-0047,parent,active
R-0047,R-0044,child,active
