household_code,resident_code
HH-0001,R-0001
HH-0001,R-0002
HH-0001,R-0003
HH-0001,R-0004
HH-0001,R-0005
HH-0001,R-0006
HH-0002,R-0007
HH-0002,R-0008
HH-0002,R-0009
HH-0002,R-0010
HH-0003,R-0011
HH-0003,R-0012
HH-0003,R-0013
HH-0004,R-0014
HH-0004,R-0015
HH-0005,R-0016
HH-0005,R-0017
HH-0005,R-0018
HH-0005,R-0019
HH-0006,R-0020
HH-0006,R-0021
HH-0007,R-0022
HH-0007,R-0023
HH-0007,R-0024
HH-0008,R-0025
HH-0008,R-0026
HH-0008,R-0027
HH-0009,R-0028
HH-0009,R-0029
HH-0009,R-0030
HH-0009,R-0031
HH-0009,R-0032
HH-0010,R-0033
HH-0010,R-0034
HH-0010,R-0035
HH-0011,R-0036
HH-0011,R-0037
HH-0011,R-0038
HH-0012,R-0039
HH-0012,R-0040
HH-0012,R-0041
HH-0012,R-0042
HH-0013,R-0043
HH-0013,R-0044
HH-0013,R-0045
HH-0013,R-0046
HH-0013,R-0047
HH-0014,R-0048
HH-0014,R-0049
HH-0015,R-0050
HH-0015,R-0051
HH-0015,R-0052
HH-0015,R-0053
HH-0016,R-0054
HH-0016,R-0055
HH-0016,R-0056
HH-0016,R-0057
HH-0016,R-0058
HH-0017,R-0059
HH-0017,R-0060
HH-0018,R-0061
HH-0018,R-0062
HH-0018,R-0063
HH-0018,R-0064
HH-0018,R-0065
HH-0019,R-0066
HH-0020,R-0067
HH-0020,R-0068
HH-0020,R-0069
HH-0020,R-0070
