household_code,primary_site_code,head_resident_code,household_status
HH-0001,RES-0001,R-0001,active
HH-0002,RES-0002,R-0007,active
HH-0003,RES-0003,R-0011,active
HH-0004,RES-0004,R-0014,active
HH-0005,RES-0005,R-0016,active
HH-0006,RES-0006,R-0020,active
HH-0007,RES-0007,R-0022,active
HH-0008,RES-0008,R-0025,active
HH-0009,RES-0009,R-0028,active
HH-0010,RES-0010,R-0033,active
HH-0011,RES-0011,R-0036,active
HH-0012,RES-0012,R-0039,active
HH-0013,RES-0013,R-0043,active
HH-0014,RES-0014,R-0048,active
HH-0015,RES-0015,R-0050,active
HH-0016,RES-0016,R-0054,active
HH-0017,RES-0017,R-0059,active
HH-0018,RES-0018,R-0061,active
HH-0019,RES-0019,R-0066,active
HH-0020,RES-0020,R-0067,active
