allocation_code,site_code,allocated_to_resident_code,allocation_date,allocation_status
ALLOC-0001,RES-0001,R-0001,1989-06-12,active
ALLOC-0002,RES-0002,R-0007,1992-03-05,active
ALLOC-0003,RES-0003,R-0011,1995-11-21,active
ALLOC-0004,RES-0004,R-0014,1998-08-14,active
ALLOC-0005,RES-0005,R-0016,2000-02-28,active
ALLOC-0006,RES-0006,R-0020,2002-10-09,active
ALLOC-0007,RES-0007,R-0022,2004-04-16,active
ALLOC-0008,RES-0008,R-0025,2005-12-01,active
ALLOC-0009,RES-0009,R-0028,2007-07-19,active
ALLOC-0010,RES-0010,R-0033,2009-09-23,active
ALLOC-0011,RES-0011,R-0036,2010-05-17,active
ALLOC-0012,RES-0012,R-0041,2011-03-29,active
ALLOC-0013,RES-0013,R-0043,2012-11-08,active
ALLOC-0014,RES-0014,R-0048,2014-06-03,active
ALLOC-0015,RES-0015,R-0051,2015-01-22,active
ALLOC-0016,RES-0016,R-0054,2016-08-11,active
ALLOC-0017,RES-0017,R-0059,2018-02-19,active
ALLOC-0018,RES-0018,R-0061,2019-10-07,active
ALLOC-0019,RES-0019,R-0066,2021-04-13,active
ALLOC-0020,RES-0020,R-0067,2022-09-30,active
