site_code,site_type,stand_number,street_address,village_section,village_name,site_status
RES-0001,residential,ST-1001,13 Marula Street,Central,Mhinga Village,allocated
RES-0002,residential,ST-1002,16 Baobab Road,East,Mhinga Village,allocated
RES-0003,residential,ST-1003,19 Mopani Avenue,West,Mhinga Village,allocated
RES-0004,residential,ST-1004,22 Acacia Street,North,Mhinga Village,allocated
RES-0005,residential,ST-1005,25 Tamboti Road,South,Mhinga Village,allocated
RES-0006,residential,ST-1006,28 Protea Lane,Central,Mhinga Village,allocated
RES-0007,residential,ST-1007,31 Sekhukhune Street,East,Mhinga Village,allocated
RES-0008,residential,ST-1008,34 Letaba Road,West,Mhinga Village,allocated
RES-0009,residential,ST-1009,37 Olifants Avenue,North,Mhinga Village,allocated
RES-0010,residential,ST-1010,40 Magoebaskloof Street,South,Mhinga Village,allocated
RES-0011,residential,ST-1011,43 Savanna Road,Central,Mhinga Village,allocated
RES-0012,residential,ST-1012,46 Modjadji Avenue,East,Mhinga Village,allocated
RES-0013,residential,ST-1013,49 Ga-Molepo Road,West,Mhinga Village,allocated
RES-0014,residential,ST-1014,52 Mapungubwe Street,North,Mhinga Village,allocated
RES-0015,residential,ST-1015,55 Turfloop Avenue,South,Mhinga Village,allocated
RES-0016,residential,ST-1016,58 Makhado Road,Central,Mhinga Village,allocated
RES-0017,residential,ST-1017,61 Thabazimbi Street,East,Mhinga Village,allocated
RES-0018,residential,ST-1018,64 Polokwane Avenue,West,Mhinga Village,allocated
RES-0019,residential,ST-1019,67 Blyde Street,North,Mhinga Village,allocated
RES-0020,residential,ST-1020,70 Waterberg Road,South,Mhinga Village,allocated
